,noticeID,user,assistant
1,Notice_NO_1654,"Theapplicant has cleared approximately 16.7 acres of cypress tupelo swamp wetlandhabitatand filled approximately 1.19 acres of those wetlands for construction of a driveway and house pad . The applicant proposes to permanently clear 1.92 acres along the driveway and house pad, and to restore 13.6 acres of wetlands through planting of cypress/tupelo habitat species .If a Department of the Army permit is warranted, the applicant has proposed to mitigate unavoidable wetlands impacts at an approved and acceptable mitigation bank within the N.O. District.The applicant may be required to fully or partially restore the site to pre- project conditions if issuance of a permit is determined to be contrary to the public interest.","{'wetlands': [{'wetland_type': 'cypress tupelo swamp', 'impact_quantity': '16.7', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'clearing'}, {'wetland_type': 'cypress tupelo swamp', 'impact_quantity': '1.92', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'clearing'}, {'wetland_type': 'cypress tupelo swamp', 'impact_quantity': '13.6', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'restoration'}]}"
2,Notice_NO_1035,"The applicant is requesting authorization to discharge fill material into 1,491.07 linear feet of stream and 14.62 acres of wetlands and other waters of the United States (U.S.) in association with the construction of an oriented strand board (OSB) manufacturing facility. Specifically, the applicant is proposing to discharge fill materialinto 239.2 linear feet of intermittent stream for the construction of a culverted rail crossing and into 1,251.87 linear feet of ephemeral stream, 4.58 acres of emergent wetlands, and 3.85 acres of open water pond for the construction of building foundation. The applicant also proposes to discharge fill material into 6.19 acres of open water pond for grading required to repurpose the waterbody as a detention pond.","{'wetlands': [{'wetland_type': 'intermittent stream', 'impact_quantity': '239.2', 'impact_unit': 'linear feet', 'impact_duration': 'unknown', 'impact_type': 'fill'}, {'wetland_type': 'ephemeral stream', 'impact_quantity': '1251.87', 'impact_unit': 'linear feet', 'impact_duration': 'unknown', 'impact_type': 'fill'}, {'wetland_type': 'emergent wetlands', 'impact_quantity': '4.58', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'fill'}, {'wetland_type': 'open water pond', 'impact_quantity': '3.85', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'fill'}, {'wetland_type': 'open water pond', 'impact_quantity': '6.19', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'grading and repurposing'}]}"
3,Notice_NO_1194,"The applicant proposesto discharge a total of 18,000 cubic yards of sandy fill and 8,500 cubic yards of rip- rap into 4.6 acres of open waters for the construction of a new artificial pocket beach along 900 linear feet of shorel ine within the waters of Mobile Bay. Specifically, the work would involve the discharge of 7,900 cubic yards of clean sand below the plane of Mean High Water (MHW) within 3.1 acres of open water for the proposed beach area, and 3,600 cubic yards of rip- rap below the plane of MHW within 1.5 acres of open waters for installation of protective groin and breakwater structures.The work would include the construction of timber walkover structures that would span over an existing rip-rap revetment to provide pede strian access to the new beach.In addition to the new beach, the applicant proposes to construct 160 linear feet of new boardwalk across tidal marsh at the south end ofBayfront Park. The proposed boardwalk across tidal marsh would be 6 feet wide, constru cted at a height of 5 feet above the mud line, and would connect with additional boardwalks and observations decksto be constructed along an upland berm to the north. In addition to the above- referenced activities regulated by the USACE, Mobile District, the applicant plans additional improvements to upland areas within Bayfront Park, including the construction new roadways , parking areas, walkways, boardwalks, restroom/shower facilities, playground, and picnic areas.","{'wetlands': [ {'wetland_type': 'open waters', 'impact_quantity': '4.6', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'fill'}]}"
4,Notice_NO_1346,"The applicant proposes the discharge of approximately 5,341 cubicyards of commercially obtained clean sandy clay fill material in order to fill a total of 0.71 acre of hardwood forested wetlands to construct two culverted road crossings to allow for the expansion of Stonebridge Subdivision.One crossing would require the filling of 0.45 acre of wetlands with 3,151 cubic yards of fill material, the installation of a 3 pipe culvert structure, and scour protection riprap at the downstream end of the culvert ; this crossing would be on Bedrock Boulevard.Bedrock Boulevard would provide a secondary access to the existing subdi vision from U.S. Highway 31.The applicanthas indicated that Bedrock Boulevard w ould eventually be extended eastward beyond the current ly proposed phases of Stonebridge Subdivision if the development continues to be successful and warrant expan sion, and may eventually serve as a connector road between U.S. Highway 31P age 2 of 4and Alabama Highway 59.The second crossing would require the filling of 0. 26 acre of wetlands with 2,190 cubic yards of fill material and the installation of a 3 pipe culvert structure; t his crossing would be on Monticello Boulevard, which is a roadway internal to the subdivision development.","{'wetlands': [{'wetland_type': 'hardwood forested wetlands', 'impact_quantity': 0.71', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'fill'}]}"
5,Notice_NO_5319,"The applicant seeks authorization to discharge clean fill material over a total of 0.09 acre of saltmarsh. The project would replace the existing 10- foot-wide golf cart crossing and two 12-inch-diameter culvert pipes with a 24- foot-wide roadway with a 6-foot-wide sidewalk spanning four 48-inch-diameter reinforced concrete pipes , which would improve tidal flow to the northern part of Robinson Creek. The fill around the culverts would total 0.04 acre. Additionally, utility lines would be installed by open cut trench down to a minimum depth o f 3 feet below the existing marsh floor. The trench would be back filled to the existing marsh floor elevation and allowed to revegetate naturally. The impact area associated with the utility lines would total 0.05 acre. Best management practices would be required in project construction.","{'wetlands': [{'wetland_type': 'saltmarsh', 'impact_quantity': '0.09', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'fill'}]}"
6,Notice_NO_4275,"The applicant seeks authorization to restore and permanently protect the hydrology and wildlife habitat of 373.90 acr es of wetland habitats and adjacent upland buffer habitats while increasing the wetland, floodplain, and riverine function of Carlton Branch in the Razorback and Tampa Bay watersheds. Specific restoration objectives include: ? Rehabilitation of 181.73 acres of riverine floodplain forested wetlands that provide flood attenuation, nutrient cycling, aquifer recharge, and wildlife habitat within the watershed. ? Rehabilitation of 21.00 acres of emergent wetlands that provide flood attenuation, water quality treatment, nutrient cycling, aquifer recharge, and wildlife habitat within the watershed. ? Re-establishment of 11.95 acres of forested wetlands that provide flood attenuation, water quality treatment, nutrient cycling, aquifer recharge, and wildlife habita t within the watershed. ? Re-establishment of 59.07 acres of emergent wetlands that provide flood attenuation, water quality treatment, nutrient cycling, aquifer recharge, and wildlife habitat within the watershed. ? Establishment of 10.82 acres of forested wetlands that provide flood attenuation, water quality treatment, nutrient cycling, aquifer recharge, and wildlife habitat within the watershed. ? Establishment of 38.57 acres of emergent wetlands that provide flood attenuation, water quality treatment, nutrient cycling, aquifer recharge, and wildlife habitat within the watershed. ? Rehabilitation of 38.60 acres of adjacent upland buffer habitats that provide wetland buffers and create intact corridors with adjacent conservation lands. ? Re-establishment of 0.16 acre of adjacent upland buffer habitats that provide wetland buffers and create intact corridors with adjacent conservation lands. ? Construction of 11.26 acres of stormwater treatment areas that capture and treat agricultural runoff before being discharged into onsite wetlands. ? Preservation of all 373.90 acres of restored wetland habitat and upland buffer habitat in order to protect and manage the natural resources in perpetuity.","{'wetlands': [{'wetland_type': 'riverine floodplain forested wetlands', 'impact_quantity': '181.73', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'rehabilitation'}, {'wetland_type': 'emergent wetlands', 'impact_quantity': '21.00', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'rehabilitation'}, {'wetland_type': 'forested wetlands', 'impact_quantity': '11.95', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 're-establishment'}, {'wetland_type': 'emergent wetlands', 'impact_quantity': '59.07', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 're-establishment'}, {'wetland_type': 'forested wetlands', 'impact_quantity': '10.82', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'establishment'}, {'wetland_type': 'emergent wetlands', 'impact_quantity': '38.57', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'establishment'}, {'wetland_type': 'upland buffer habitats', 'impact_quantity': '38.60', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'rehabilitation'}, {'wetland_type': 'upland buffer habitats', 'impact_quantity': '0.16', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 're-establishment'}]}"
7,Notice_NO_4070,The applicant seeks authorization to fill 1.63 acres of freshwater wetlands (comprised of 1.32 acres of forested wetlands and 0.31 acre of surface water/pond ) for a mixed -use residential and commercial development with asso ciated infrastructure . ,"{'wetlands': [{'wetland_type': 'forested wetlands', 'impact_quantity': '1.32', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'fill'}, {'wetland_type': 'surface water/pond', 'impact_quantity': '0.31', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'fill'}]}"
8,Notice_NO_4254,"The applicant seeks authorization to eliminate a total of 15.48 acres of wetlands to establish an entrance road (affecting 2.02 acres of wetlands) and a WRF facility (affecting 13.46 acres of wetlands). The work associated with the establishment of the access road affects a channelized section of Big Davis Creek and contiguous wetlands.The work associated with the establishment of the WRF affects wet prairi e, hydric pine flatwoods, cypress, and mixed forested wetland communities, all of which have been previously affected by silviculture activities. This new facility would supplement JEA?s regional wastewater treatment and reclaimed water supply network. The treatment processes, facilities, and buildings are based on the recently constructed Blacks Ford WRF.The major facilities associated with the Greenland WRF includes, but is not limited to, grease removal; odor control system using bio-trickling filter technology; biological nutrient removal system; re-aeration blowers; secondary clarifier flow splitting structure; return activated sludge/waste activated sludge pump station and dewatering; ultraviolet disinfection; effluent transfer pump station; reclaimed water storage tanks and distribution pump station; plant drain pump st ation; aerobic digestion; chemical building and feed system; reject water storage and pump station; storage pond to accept off-specification reclaimed water; operations and maintenance buildings; and an all-weather access road.One or more offsite transmission pipelines would be incorporated into the final design.","{'wetlands': [{'wetland_type': wetlands', 'impact_quantity': '15.48', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
9,Notice_NO_1023,"The proposed development would include dredging and construction of a marina with 260 wet slips , as well as wetland fill for the construction of apartments, roads, parking lots, and other attendant featuresfor the development .The applicant proposes mechanicaldredging to remove 43,695 cubicyards of material from within 438,213 square feet ( 10.06 acres ) of waterbottoms within Terry Cove.The water bottoms w ould be mechanically dredged to - 9 feet National Geodetic Vertical Datum(NAVD88). Mechanical dredging of the marina wouldbe performed from the uplands and a barge using a crane and clam shell bucket or excavator. All dredged material would be usedas fill on site and any excess or unusable material would be removed and disposed of at an approved upland facility.The applicant proposes to construct a 260- wet-slip marina in Terry Cove consist ing of nine piers (docks A -I), a jet ski dock , and finger piers of varying lengths, as shown on the attached site plans. The floating finger piers range from 3 feet to 6 feet in width. The docks wouldbe concrete or steel/aluminum frames with composite de cking and wouldbe anchored with steel, wood or concrete piles. The docks wouldbe accessed from the existing bulkhead v ia articulating gangway ramps to accommodate fluctuating water levels. A 70- linear -foot long by 12-foot-wide, fixed, pile-supported wharf platform is proposed for construction and would be located adjacent to the existing shoreline bulkhead and concrete cap , extendingapproximately 6 feet waterward. The proposed pierstructure s cover 58,8 15 sq uare f eet (1. 35 acres)of waterbotoms of Terry Cove.For shoreline stabilization and protection of a portion of currently unarmored shoreline located adjacent to the proposed marina, t he applicant is requesting to place 58 cubic yards of riprap rock revetment within 240 square feet (0.006- acre)of subtidalnearshore area for erosion protection. This new shoreline protection would extend from the eastern limits of the existing bulkhead towardthe southeast corner of the propertyfor 14 linear feet . Additionally, the applicant requests authorization to place 425 cubic yards of rip rap along 689-linear -feet of the existing bulkhead.Thisproposed riprap protection wouldrise approximately 3 feet above the mudline and extend out approximately 6 feet from the existing bulkhead ata 2:1 slope.Construction of l andward facilities would include the discharge of 2,612 cubic yardsof fill material within 14, 792 square feet (0.34- acre) of non- tidal wetlands for the construction of the apartment buildings, access roads, and parking structures . Dewatered sand from the dredge area would be used as fill .","{'wetlands': [{'wetland_type': 'waterbottoms', 'impact_quantity': '10.06', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'dredging'}, {'wetland_type': 'waterbottoms', 'impact_quantity': '1.35', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'construction'}, {'wetland_type': 'subtidal nearshore area', 'impact_quantity': '0.006', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'erosion protection'}, {'wetland_type': 'non-tidal wetlands', 'impact_quantity': '0.34', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'fill'}]}"
10,Notice_NO_889,"The applicant seeks authorization to demolish an existing pier and dredg e two existing open water properties located north of Mathews Bridge in downtown Jacksonville, in Duval County, on the St. Johns River. The two property parcels are Duval County Property Appraiser #12 -19-60-0100 and #13 -11-46-0000. In addition , the applicant requests to excavat e of approximately 139,070 square feet (3.19acres) of the existing Ford Motor Company Pier, includ ing a concrete deck, building, timber piles, concrete foundations, and fill to match the proposed dredging depth of the project. The Applicant proposes to excavate the Ford Motor Company Pier down to -54 feet mean lower low water (MLLW), resulting in the e xcavation of roughly 228,000 cubic yards of material. The dredging elements of the proposed project consist of maintenance and new work dredging of the resulting basin surrounding the upland excavation area to -54 feet MLLW. The remaining channel to the no rth and south would be dredged to -20 feet MLLW. The result would be the dredging of approximately 201,600 cubic yards of dredged material from within the two property parcels. All proje ct limits would maintain a side -slope horizontal to vertical unit ratio of 3 horizontal to 1 vertical (3:1). A new roughly 37,383 square-foot (0.86 -acres) steel bulkhead and concrete cap pier will be installed to service the new drydock basin. The net result is the overall increase of open water by 101,687 square feet (2.33 acres) for ser vicing vessels .","{'wetlands': [{'wetland_type': 'open water', 'impact_quantity': '2.33', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'net increase'}]}"
11,Notice_NO_4668,"Proposed ind reclmaon, buaeusnistaton roan of canals, and resutng of pr ad fo he pxpone Test otaclof od increta amassierta conmunty Soop econ of he exsng paren fost wile rowed, Apron 50,308 yf nate marl wise excavate om a Borow pind ved a 8 [Bra retomaton Appr 30,7729. wl be dapaced dung cal ord aos corsaueton, and placed ost ft vlopront poo 70 oy of asp wi be Spaced cr rad rormval andhaued one Apex 7463 sere atta wie eqs ft be ond and corre pas constuction Aprox. 6740, of agonal ita wie raquo fr 90d conacton To masse fr 20.T3 cre of wetand pacts (9 estes ans Duabemogent oppor ?5 aces of roe? woiande wi be ceed secon oftnd caer) uted ree Guanatan Appin 73 aces of wands 22 axe of aotrveptaod waleotions, and 2183 ares funds ?ey 0 martes by the proposed acy,  [NOTICE the Louisiana Department of Natural Resources, ce of Coastal Management (OCM) has. Tecsived the above applleaton fora Coastal Use Permit (CUP) in accordance with the State and Local ?Coastal Resources Management Act of 1978, as amended, (Lousiana R.S. 49:214.21-214.61), and the ules ?Gnd regulations of ne Coastal Resources Program. Applications forthe proposed work may be inspected at 817 Noth 3rd Steet, Room 1078, Baton Rouge, LA oron the OCM web page at  hhtpsidnrlousiane govindex.cim?md=pagebulder&tmp=home&pid=591. Copies may be obtained upon payment of east of copying. Whiten comments, including suggestions for modfcatios or obections fo the proposed work and stating the reasons hereof, are being solicited from the publi. Comments must be Frcoived within 25 days ofthe date of publication of th notice.","{'wetlands': [{'wetland_type': 'unknown', 'impact_quantity': 'unknown', 'impact_unit': 'unknown', 'impact_duration': 'unknown', 'impact_type': 'unknown'}]}"
12,Notice_NO_1023,"The proposed development would include dredging and construction of a marina with 260 wet slips , as well as wetland fill for the construction of apartments, roads, parking lots, and other attendant featuresfor the development .The applicant proposes mechanicaldredging to remove 43,695 cubicyards of material from within 438,213 square feet ( 10.06 acres ) of waterbottoms within Terry Cove.The water bottoms w ould be mechanically dredged to - 9 feet National Geodetic Vertical Datum(NAVD88). Mechanical dredging of the marina wouldbe performed from the uplands and a barge using a crane and clam shell bucket or excavator. All dredged material would be usedas fill on site and any excess or unusable material would be removed and disposed of at an approved upland facility.The applicant proposes to construct a 260- wet-slip marina in Terry Cove consist ing of nine piers (docks A -I), a jet ski dock , and finger piers of varying lengths, as shown on the attached site plans. The floating finger piers range from 3 feet to 6 feet in width. The docks wouldbe concrete or steel/aluminum frames with composite de cking and wouldbe anchored with steel, wood or concrete piles. The docks wouldbe accessed from the existing bulkhead v ia articulating gangway ramps to accommodate fluctuating water levels. A 70- linear -foot long by 12-foot-wide, fixed, pile-supported wharf platform is proposed for construction and would be located adjacent to the existing shoreline bulkhead and concrete cap , extendingapproximately 6 feet waterward. The proposed pierstructure s cover 58,8 15 sq uare f eet (1. 35 acres)of waterbotoms of Terry Cove.For shoreline stabilization and protection of a portion of currently unarmored shoreline located adjacent to the proposed marina, t he applicant is requesting to place 58 cubic yards of riprap rock revetment within 240 square feet (0.006- acre)of subtidalnearshore area for erosion protection. This new shoreline protection would extend from the eastern limits of the existing bulkhead towardthe southeast corner of the propertyfor 14 linear feet . Additionally, the applicant requests authorization to place 425 cubic yards of rip rap along 689-linear -feet of the existing bulkhead.Thisproposed riprap protection wouldrise approximately 3 feet above the mudline and extend out approximately 6 feet from the existing bulkhead ata 2:1 slope.Construction of l andward facilities would include the discharge of 2,612 cubic yardsof fill material within 14, 792 square feet (0.34- acre) of non- tidal wetlands for the construction of the apartment buildings, access roads, and parking structures . Dewatered sand from the dredge area would be used as fill .","{'wetlands': [{'wetland_type': 'waterbottoms', 'impact_quantity': '10.06', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'dredging'}, {'wetland_type': 'waterbottoms', 'impact_quantity': '1.35', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'construction'}, {'wetland_type': 'subtidal nearshore area', 'impact_quantity': '0.006', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'erosion protection'}, {'wetland_type': 'non-tidal wetlands', 'impact_quantity': '0.34', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'fill'}]}"
13,Notice_NO_1251,"The applicant requests authorization to perform maintenance dredging in previously dredged areas in Yards 2 - 6 and 8 of the Modern American Recycling & Repair Service ( MARRS ) property. The dredging will consist of the mechanical removal of 459,796 cubic yards of material from 571,189 square feet (13.1 acres) of river bottoms located to the west of the Mobile River federal navigation channel.Dredge depths with be between - 25 to -60 feet relative to Mean Lower Low Water ( MLLW ) at each of the 8 proposed dredge sites. The dredged materials are proposed to be disposed at either Galliard Island or the Mobile Ocean Dredged Material Disposal Site (ODMDS), depending on regulatory approval. The details of each dredge area can be found in the attached drawings.","{'wetlands': [{'wetland_type': 'river bottoms', 'impact_quantity': '13.1', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'maintenance dredging'}]}"
14,Notice_NO_6578,"The applicant proposes to perform dredging operations on the previously authorized and constructed dock slip including the slip's side/end slopes.Further the applicant wishes to exte nd maintenance dredging 10 years.The applicant requests the use of silt blade, mechanical, or hydraulic dredging methods and to increaseand maintainthe overall dredging depth to elevation ( -) 51 feet NAV88, with an allowable overdepth of elevation ( -) 53 feet NAVD88 within the slip.An estimated up to52,346 cubic yards of material will be dredged to achieve elevation (-) 51 feet NAVD88 within the slip, and with side/end slopes dredged on a 2.5 horizontal to 1 vertical grade.An additional estimated 22,297 cubic yards is requested to be dredged below the required depth of the slip and slopes from within a 2 -foot allowable overdep th area to a maximum depth of elevation(-) 53 feet NAVD 88, for a total of an estimated 74,643 cubic yards of dredging.The applicant would like authorization to use six previously authorized DMPAs as well five additionalDMPAs as to place dredged materi al from the ship dock basin.Proposed DMPAs consist of Suntide DMPA, Tule Lake DMPA No. 6, South Shore DMPA - Cells A & B, DMPA No. 1, Herbie A. Maurer DMPA, Rincon B West, DMPA 14,DMPA 13, and Good Hope DMPA Cell J and Cell I.","{'wetlands': [{'wetland_type': 'unknown', 'impact_quantity': '74,643', 'impact_unit': 'cubic yards', 'impact_duration': 'unknown', 'impact_type': 'dredging'}]}"
15,Notice_NO_6574,"The applicant currently holds a permit authorizing the clearing, grading, and filling of a tract to construct a 17-lot commercial retail development (Juban East/Juban Marketplace II), including parking, retention ponds, green space and ingress/egress access.Due to flooding in 2016 and labor and supply shortages caused by Covid-19, approximately 67% ofconstruction has been completed.The applicant requests additional time to complete the remaining au thorized work.Additi onally, the plans have been modified to include a multi-family apartm ent development and slight changes in the locations/size of the drainage pond and roadway.No change in footprint is proposed.As a result of project impl ementation, approximately 87, 409.99 cubic yards of earthen material, 16,871.67 cubic yards of lime treated base, 13,970.60 cubic yards of concrete, and 4,570.19 cubic yards of asphalt will be deposited on site.Approximately 29.3 acres of wetlands we re impacted by project implementation.To minimize impacts to adjacent properties, appr opriate erosion control methods (BMP’s) have or will be utilized during and after the construction phase.These BMP’s include silt fencing, hay bales, seeding, sediment check dams, etc.","{'wetlands': [{'wetland_type': 'wetland', 'impact_quantity': '29.3', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'loss'}]}"
16,Notice_NO_6557,"The applicant seeks authorization to perform s horeline stabilization and habitat restoration activities along the southeast shoreline of A. Max Brewer Memorial Parkway, achieved through installation of in- water wave attenuation devices(WADs), shoreline renourishment, and habitat restorative vegetative planting and clam seeding activities. Shoreline renourishment activities require 0.989 acre ( 329 cubic yards) of direct impacts (fill) to waters of the U.S. (WOTUS) located below the OHWL . Removal of existing rip- rap along the shoreline is authorized. R enourishment shall occur with clean sand from a nearby dredge spoil management area owned and operated by the Florida Inland Navigation District (FIND). WAD installation requires approximately 0.413 acre of structure impacts to WOTUS bottom , including associated 3 toe-in-rip-rap and installation of up to 25 pile -supported navigational safety signs. The applicant shall also be authorized to perform mangrove plantings, seagrass plantings, and clam seeding at or below the OHWL, including temporary installation of up to 50 herbivory exclusion devices. All work shall be performed in accordance with the attached Plan Set, Seagrass Planting Plan, and Planting Plan Overview . The Corps shall not require monitoring nor achievement of success criteria for the proposed restorative planting and clam seeding activities. Additional construction and planting details are provided in the above referenced attachments.","{'wetlands': [{'wetland_type': 'waters of the U.S. (WOTUS)', 'impact_quantity': '0.989', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'fill'}, {'wetland_type': 'WOTUS bottom', 'impact_quantity': '0.413', 'impact_unit': 'acre', 'impact_duration': 'unknown', 'impact_type': 'structure impacts'}]}"
17,Notice_NO_3124,":This work will consist of the major components summarized below.Liquefaction Facility(Figures 1 -4): The Liquefaction Facility will require an approximately 86- acre site.This site will be cleared and permanently filled for ongoing operations, permanently impacting 105.7 acres of wetlands.Additional construction workspaces for the liquefaction facility will comprise four separate locations totaling approximately 35 acres in the immediate area of the Liquefaction Facility, with a permanent wetland impact of 110.15 acres.LNG Carrier Berth(Figures 5 -7): Mooring and breasting dolphins will be modified at the existing west dock, and breasting dolphins will be added to the existing east dock.Two temporary construction docks will be constructed.Approximately 6,000 cubic yards of material will be dredged from the existing basin for onshore disposal at an existing confined disposal facility.Pipelines: Two new pipelines (one new 6.45- mile pipeline and one new 11.44 mile- pipeline in a new right-of-way) will be installed, and one existing pipeline will be modified.Where pipelines are installed and modified, the proposed activities include clearing rights -of-way, conducting trenching operations, installing various above and below ground pipelines and components, temporarily stockpiling materials, and performing horizontal directional drilling (HDD) operations.Following construction, rights -of-way will be restored to pre- construction grade and allowed to revegetate to the extent allowed under United States Department of Transportation (USDOT) regulations. The 6.45- mile 4 -inch Mainline Loop will temporarily disturb 5.7 acres of wetlands and permanently convert 0.01 acre of forested wetland to non- forested wetland (Figures 8- 10).The 11.44- mile 4 -inch Mainline Connector will temporarily disturb 8.34 acres of wetlands and permanently convert 3.97 acres of forested wetland to non- forested wetland (Figures 11- 14).The modifications to Mainline 00- 1 will temporarily disturb 19.31 acres of wetland; no permanent impacts are expected (Figure 15).The single contractor yard (Figure 16) will not have wetland impacts.Compressor Stations: One new compressor station will be constructed (Figure 17) and station piping at one existing compressor station will be modified (Figure 18).Construction of the new compressor station will permanently fill .60 acres of wetlands; modification of piping at the existing compressor station will not affect wetlands.Meter Stations: Three new meter stations will be constructed (Figures 19- 1) and five existing meter stations will be modified (Figures5 and the Trunkline/LNG Export Meter on Figure 1).Activities at the meter stations will temporarily disturb 1.70 acres of wetlands, permanently fill 0.38 acre of wetlands, and permanently convert 0.16 acre of forested wetland to non- forested wetland.Total Impacts: The Project will impact a total of 73.48 acres of jurisdictional wetlands.Of these, approximately 18.40 acres will be permanently filled for the liquefaction facilities, additional construction workspaces, and aboveground fac ilities; no permanent fill is associated with the pipelines.Construction of pipelines and aboveground facilities will temporarily disturb approximately 55.07 acres of wetlands.Approximately 4.14 acres of forested wetlands will be permanently converted to non- forested wetlands within the pipeline rights -of-way and aboveground facilities.Mitigation: The applicant proposes to compensate for unavoidable project -related wetland impacts through a Permittee- Responsible Mitigation (PRM) project in the Lower C alcasieu Watershed, involving approximately 559 acres of coastal prairie and bottomland hardwood habitat restoration (details under development with appropriate resource agencies), and credit purchase from a USACE -approved Mitigation Bank.","{'wetlands': [{'wetland_type': 'wetland', 'impact_quantity': '105.7', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'loss'}, {'wetland_type': 'wetland', 'impact_quantity': '110.15', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'loss'}, {'wetland_type': 'wetland', 'impact_quantity': '5.7', 'impact_unit': 'acres', 'impact_duration': 'temporary', 'impact_type': 'loss'}, {'wetland_type': 'forested wetland', 'impact_quantity': '0.01', 'impact_unit': 'acre', 'impact_duration': 'permanent', 'impact_type': 'convert'}, {'wetland_type': 'wetland', 'impact_quantity': '8.34', 'impact_unit': 'acres', 'impact_duration': 'temporary', 'impact_type': 'loss'}, {'wetland_type': 'forested wetland', 'impact_quantity': '3.97', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'convert'}, {'wetland_type': 'wetland', 'impact_quantity': '19.31', 'impact_unit': 'acres', 'impact_duration': 'temporary', 'impact_type': 'loss'}, {'wetland_type': 'wetland', 'impact_quantity': '0.60', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'fill'}, {'wetland_type': 'wetland', 'impact_quantity': '1.70', 'impact_unit': 'acres', 'impact_duration': 'temporary', 'impact_type': 'loss'}, {'wetland_type': 'wetland', 'impact_quantity': '0.38', 'impact_unit': 'acre', 'impact_duration': 'permanent', 'impact_type': 'fill'}, {'wetland_type': 'forested wetland', 'impact_quantity': '0.16', 'impact_unit': 'acre', 'impact_duration': 'permanent', 'impact_type': 'convert'}, {'wetland_type': 'coastal prairie and bottomland hardwood', 'impact_quantity': '559', 'impact_unit': 'acres', 'impact_duration': 'unknown', 'impact_type': 'mitigation restoration'}]}"
18,Notice_NO_2807,":The applicant proposes to clear, grade, excavate, and deposit fill for a 664 lot residential development.Work would includ e access roads, driveways, appurtenant utilities, greenspaces, house pads, and detention ponds.The pr oposed project would permanently impact 2.8 acres of jurisdictional wetlands; primarily for fill at eight culv erted road crossings throughout the development.The applicant proposes to offset any unavoidable losses to wetland functions by purchasing the required credits from an approved compensatory mitigation bank.","{'wetlands': [{'wetland_type': 'jurisdictional wetlands', 'impact_quantity': '2.8', 'impact_unit': 'acres', 'impact_duration': 'permanent', 'impact_type': 'loss'}]}"
